"","Site","Location","Nut","Rep","Speed","Fluxes","Height","rsq"
"1","PP",200,"NH4",1,40,8.61119999999997,0.26,0.307248764415168
"2","PP",200,"NH4",1,50,29.5776000000002,0.26,0.73908601151774
"3","PP",200,"NH4",1,60,12.4086857142856,0.26,-0.317006319315796
"4","PP",200,"NO2",1,40,1.12319999999999,0.26,0.928571428571424
"5","PP",200,"NO2",1,50,2.62080000000001,0.26,0.884615384615384
"6","PP",200,"NO2",1,60,1.92548571428571,0.26,0.928571428571426
"7","PP",200,"NO3",1,40,-10.8575999999997,0.26,-0.95498019342636
"8","PP",200,"NO3",1,50,227.635200000001,0.26,0.497532901399779
"9","PP",200,"NO3",1,60,6.84617142857188,0.26,-0.962962125699092
"10","PP",200,"PO4",1,40,19.8431999999999,0.26,0.980959097320171
"11","PP",200,"PO4",1,50,46.8000000000003,0.26,0.95982105527218
"12","PP",200,"PO4",1,60,15.7782857142857,0.26,0.900358125518624
"13","PP",200,"DSi",1,40,217.151999999995,0.26,-0.938919285333852
"14","PP",200,"DSi",1,50,752.544000000008,0.26,0.440389323318997
"15","PP",200,"DSi",1,60,334.285714285716,0.26,-0.11493146029228
"16","PP",200,"NH4",2,50,36.3167999999998,0.26,0.877044819789874
"17","PP",200,"NH4",2,60,14.2271999999999,0.26,0.888404533565831
"18","PP",200,"NH4",2,40,14.6016000000001,0.26,0.614649681528666
"19","PP",200,"NO2",2,50,2.24639999999998,0.26,0.928571428571422
"20","PP",200,"NO2",2,60,3.36959999999997,0.26,0.991803278688527
"21","PP",200,"NO2",2,40,1.12320000000001,0.26,0.500000000000003
"22","PP",200,"NO3",2,50,368.409599999995,0.26,0.704241994703215
"23","PP",200,"NO3",2,60,25.4592000000002,0.26,-0.590167809028582
"24","PP",200,"NO3",2,40,-63.2735999999993,0.26,-0.41817527467304
"25","PP",200,"PO4",2,50,64.3967999999995,0.26,0.987103707684038
"26","PP",200,"PO4",2,60,41.1839999999996,0.26,0.994505494505493
"27","PP",200,"PO4",2,40,16.4736000000001,0.26,0.791486736582358
"28","PP",200,"DSi",2,50,1583.71199999998,0.26,0.546054412755819
"29","PP",200,"DSi",2,60,149.760000000002,0.26,0.985111662531018
"30","PP",200,"DSi",2,40,-445.535999999996,0.26,0.374765387353572
"31","PP",200,"NH4",3,40,-23.2128000000001,0.26,0.309264305177113
"32","PP",200,"NH4",3,50,13.1039999999999,0.26,0.973684210526313
"33","PP",200,"NH4",3,60,19.8432000000002,0.26,-0.427746842319704
"34","PP",200,"NO2",3,40,-2.99520000000001,0.26,0.846153846153846
"35","PP",200,"NO2",3,50,1.12319999999999,0.26,0.928571428571422
"36","PP",200,"NO2",3,60,3.36960000000003,0.26,0.335164835164836
"37","PP",200,"NO3",3,40,-458.640000000001,0.26,0.185334670185029
"38","PP",200,"NO3",3,50,-94.7232000000004,0.26,-0.394477274017246
"39","PP",200,"NO3",3,60,301.392000000002,0.26,0.352258894724029
"40","PP",200,"PO4",3,40,7.11360000000001,0.26,-0.3030888030888
"41","PP",200,"PO4",3,50,25.0847999999998,0.26,0.967134092900969
"42","PP",200,"PO4",3,60,45.3024000000004,0.26,0.610907357148097
"43","PP",200,"DSi",3,40,-378.144000000002,0.26,-0.858086864583624
"44","PP",200,"DSi",3,50,-378.143999999999,0.26,0.396504517659966
"45","PP",200,"DSi",3,60,2793.02400000002,0.26,0.635490544893146
"46","PP",25,"NH4",1,40,19.4687999999999,0.26,0.413733008016724
"47","PP",25,"NH4",1,60,16.8479999999998,0.26,0.960942543576496
"48","PP",25,"NH4",1,50,54.2880000000004,0.26,0.794452347083926
"49","PP",25,"NO2",1,40,0.748799999999991,0.26,-0.684210526315794
"50","PP",25,"NO2",1,60,1.49759999999999,0.26,1
"51","PP",25,"NO2",1,50,1.87200000000001,0.26,0.785714285714286
"52","PP",25,"NO3",1,40,58.7808000000001,0.26,0.557237922756181
"53","PP",25,"NO3",1,60,389.001599999997,0.26,0.925087410405084
"54","PP",25,"NO3",1,50,96.2208000000006,0.26,-0.253790417943944
"55","PP",25,"PO4",1,40,8.98559999999996,0.26,0.995381062355658
"56","PP",25,"PO4",1,60,42.6815999999996,0.26,0.994883340155548
"57","PP",25,"PO4",1,50,20.2176000000001,0.26,0.664383561643835
"58","PP",25,"DSi",1,40,385.632000000007,0.26,-0.906370798350226
"59","PP",25,"DSi",1,60,2714.39999999998,0.26,0.927809604847175
"60","PP",25,"DSi",1,50,628.992000000005,0.26,0.997640730429859
"61","PP",25,"NH4",2,40,-7.48799999999998,0.26,0.941747572815531
"62","PP",25,"NH4",2,60,2.24639999999996,0.26,-0.923186344238982
"63","PP",25,"NH4",2,50,27.7056000000002,0.26,0.982621288921072
"64","PP",25,"NO2",2,40,-0.748799999999995,0.26,0.499999999999992
"65","PP",25,"NO2",2,60,0.748799999999993,0.26,0.499999999999985
"66","PP",25,"NO2",2,50,2.24640000000001,0.26,1
"67","PP",25,"NO3",2,40,135.532799999998,0.26,0.105502033103307
"68","PP",25,"NO3",2,60,83.1168000000001,0.26,0.620757695343348
"69","PP",25,"NO3",2,50,210.412800000001,0.26,0.372741391499867
"70","PP",25,"PO4",2,40,17.2223999999999,0.26,0.722192078133473
"71","PP",25,"PO4",2,60,29.9519999999997,0.26,0.684210526315777
"72","PP",25,"PO4",2,50,47.5488000000003,0.26,0.999628068435408
"73","PP",25,"DSi",2,40,-52.4160000000037,0.26,-0.932753888380602
"74","PP",25,"DSi",2,60,-101.087999999994,0.26,0.555476529160758
"75","PP",25,"DSi",2,50,2134.08000000001,0.26,0.814144632759951
"76","PP",25,"NH4",3,40,8.98560000000002,0.26,0.981651376146789
"77","PP",25,"NH4",3,50,4.11839999999984,0.26,-0.872452565003522
"78","PP",25,"NH4",3,60,8.23680000000005,0.26,0.700234192037475
"79","PP",25,"NO2",3,40,0.374400000000006,0.26,-0.973684210526315
"80","PP",25,"NO2",3,50,1.87199999999998,0.26,0.973684210526312
"81","PP",25,"NO2",3,60,-0.748800000000006,0.26,-0.142857142857137
"82","PP",25,"NO3",3,40,-305.884800000001,0.26,0.990646540840488
"83","PP",25,"NO3",3,50,301.017599999997,0.26,0.746953806683146
"84","PP",25,"NO3",3,60,-399.484800000003,0.26,0.535125521489273
"85","PP",25,"PO4",3,40,7.11360000000002,0.26,-0.0615251299826689
"86","PP",25,"PO4",3,50,28.4543999999998,0.26,0.999538426032771
"87","PP",25,"PO4",3,60,11.2320000000001,0.26,-0.289473684210526
"88","PP",25,"DSi",3,40,-1920.672,0.26,0.447430947430942
"89","PP",25,"DSi",3,50,408.095999999987,0.26,-0.736823840394595
"90","PP",25,"DSi",3,60,-1965.60000000001,0.26,0.554212043862854
"91","PP",200,"Turbidity.gl",1,40,3.03263999999998,0.26,0.938447902304506
"92","PP",200,"Turbidity.gl",1,50,39.4992000000002,0.26,0.873411507279715
"93","PP",200,"Turbidity.gl",1,60,109.747337142857,0.26,0.862327742384269
"94","PP",200,"Turbidity.gl",2,50,135.607679999999,0.26,0.965267532816173
"95","PP",200,"Turbidity.gl",2,60,66.68064,0.26,0.500000000000013
"96","PP",200,"Turbidity.gl",2,40,8.46144000000003,0.26,0.778907773753136
"97","PP",200,"Turbidity.gl",3,40,5.50368000000001,0.26,0.999969149133091
"98","PP",200,"Turbidity.gl",3,50,49.0463999999995,0.26,0.959549162482372
"99","PP",200,"Turbidity.gl",3,60,91.8403200000007,0.26,0.690196545118937
"100","PP",25,"Turbidity.gl",1,40,0.112320000000003,0.26,0.0384615384615281
"101","PP",25,"Turbidity.gl",1,60,11.7935999999999,0.26,0.972010599536274
"102","PP",25,"Turbidity.gl",1,50,2.17152000000002,0.26,0.961897356143077
"103","PP",25,"Turbidity.gl",2,40,-7.82495999999995,0.26,0.499999999999994
"104","PP",25,"Turbidity.gl",2,60,121.867199999999,0.26,0.923674803919996
"105","PP",25,"Turbidity.gl",2,50,30.2140800000002,0.26,0.940385505409748
"106","PP",25,"Turbidity.gl",3,40,0.973440000000004,0.26,0.273869346733663
"107","PP",25,"Turbidity.gl",3,50,8.04959999999993,0.26,0.989541189635876
"108","PP",25,"Turbidity.gl",3,60,23.6246400000002,0.26,0.999395737016715
